name,cpu,ram,gpu,dx,os,sto,spec_class
Aeon Drive,Intel Core i3,2000 MB RAM,Intel HD 4000,Version 10,"Windows 10, 64-bit",500 MB available space,0
Aeon Must Die!,AMD FX-4300 / Intel Core i3-4130,4 GB RAM,"1 GB VRAM, AMD Radeon HD 7770 / NVIDIA GeForce GTX 560",,Windows 10 (64-bit),,0
Aeon Must Die!,AMD FX-8320 / Intel Core i5-4690K,8 GB RAM,"2 GB VRAM, AMD Radeon R9 380 / NVIDIA GeForce GTX 1050 Ti",,Windows 10 (64-bit),,1
AER Memories of Old,3 GHz Dual Core CPU,4 GB RAM,"GeForce GTX 560, AMD HD 6870",Version 11,"Win 7, 8, 10, 64bit",3 GB available space,0
AER Memories of Old,3 GHz Quad Core CPU,4 GB RAM,"GeForce GTX 660TI, AMD HD 7800 series",Version 11,"Win 7, 8, 10, 64bit",3 GB available space,1
AereA,"Intel® Core™ 2 Duo 2,6Ghz / AMD Athlon™ 64 X2 3800+",4 GB RAM,NVIDIA® GeForce® GTX 560 Ti / ATI® Radeon™ HD 7850 or better,Version 9.0c,Windows Vista (32bit),4 GB available space,0
AereA,Intel® Core™ i5 4th Gen / AMD A10 series or better,8 GB RAM,NVIDIA® GeForce® GTX 760 / ATI® Radeon™ R9 M295X or better,Version 11,Windows 7 (64bit) or higher,4 GB available space,1
AEW: Fight Forever,Intel Core i5-3550 / AMD FX 8150 (AVX - Compatible processor),8 GB RAM,"GeForce GTX 1060 / Radeon RX 480 / Intel® Arc™ A380 Graphics, at least 4 GB Video Memory",Version 12,Windows® 10 64 bit,25 GB available space,0
AEW: Fight Forever,Intel i7-4790 / AMD FX 8350 (AVX - Compatible processor),16 GB RAM,"GeForce GTX 1070 / Radeon RX 580 / Intel® Arc™ A770 Graphics, at least 6 GB Video Memory",Version 12,Windows 10 64-bit,25 GB available space,1
Afrika Korps vs Desert Rats,"Pentium III, 1 GHz",256 MB ,"32MB, DirectX 8.0 compatible videocard",DirectX 8.0,Win 98/2000/XP/ME ,"1,5 GB free space",0
Afrika Korps vs Desert Rats,"Pentium IV, 1.4GHz",512 MB,"64MB, DirectX 9.0 compatible videocard",DirectX 9.0,Win 98/2000/XP/ME ,"1,5 GB free space",1
Afro Samurai 2: Revenge of Kuma,2 GHz processor,2 GB RAM,"Intel HD3000, Nvidia GeForce GTX550 or equivalent",Version 11,Windows 7,,0
Afro Samurai 2: Revenge of Kuma,3 GHz processor,3 GB RAM,NVIDIA® GeForce® GTX 650 ti 2GB ram or or ATI™ Radeon™ HD 6XXX or higher,Version 11,Windows 7,,1
After the Fall,Intel i5-7500 / Ryzen 5 1600 equivalent or greater,12 GB RAM,NVIDIA GTX 1060 / RX 580 equivalent or greater,Version 11,Windows 10 - 64 bit,,0
After Us,Intel Core i5-8400 or AMD Ryzen 3 3100,12 GB RAM,GeForce GTX 1050 Ti or GeForce GTX 960 or Intel Arc A750 or AMD Radeon RX 380 X,,Windows 10 64-bit,30 GB available space,0
After Us,Intel Core i7-8700 or AMD Ryzen 5 3600,16 GB RAM,GeForce GTX 1070 Ti or GeForce RTX 3060 or AMD Radeon RX Vega 56,,Windows 10 64-bit,30 GB available space,1
Aftercharge,Intel® Core™ i3 or AMD Phenom™ X3 8650,2 GB RAM,"NVIDIA® GeForce® GTX 460, ATI Radeon™ HD 4850, or Intel® HD Graphics 5500",Version 11,Windows® Vista/7/ 8/10 64-bit (latest Service Pack),5 GB available space,0
Afterfall: InSanity,"Intel Core 2 Duo 2Ghz, AMD Athlon 64 x2 2Ghz or better",2GB for Windows XP and 3GB for Windows Vista or Windows 7,"256 MB, DirectX 9.0c i Shader 3.0 (GeForce 8600GT / ATI equivalent or better)",DirectX 9.0c,Windows XP SP 2 / Windows Vista / Windows  7,,0
AFTERGRINDER,Intel Core i3 1.8 GHz,1 GB RAM,256 MB NVIDIA GeForce 8600 GTS,Version 9.0c,Windows 7 and above,1 GB available space,0
Afterlight,"Intel Core 2 Quad Q6600 @ 2.4 GHz, AMD FX 8120 @ 3.1 GHz",4 GB RAM,"NVIDIA GT 630 / 650m, AMD Radeon HD6570 or equivalent",Version 9.0c,Windows 7/8/10 (64-bit OS required),3 GB available space,0
Afterlight,"Intel i7 920 @ 2.7 GHz, AMD Phenom II 945 @ 3.0 GHz",8 GB RAM,"NVIDIA GTX 660, Radeon R9-270",Version 11,Windows 8/10 (64-bit OS required),3 GB available space,1
Afterparty,Intel Core i3 2.5GHz,4 GB RAM,Radeon HD 6850 or equivalent,Version 11,"Windows 7 SP1, 64-bit",5 GB available space,0
Afterparty,Intel Core i5 3.0 GHz,8 GB RAM,Radeon RX 460 or equivalent,Version 11,"Windows 10, 64-bit",5 GB available space,1
Against the Storm,Intel i3-4160 or AMD FX-4350,4 GB RAM,Nvidia GeForce GTX 650 or AMD Radeon HD 7750,,Windows 7 64 Bit,5 GB available space,0
Against the Storm,Intel i5-3570K or AMD FX-9590,8 GB RAM,Nvidia GeForce GTX 970 or AMD Radeon R9 390X,,Windows 10 64 Bit,5 GB available space,1
Agatha Christie - Hercule Poirot: The First Cases,2ghz processor,4 GB RAM,"GeForce GTX 580, DirectX 10-compatible video card",Version 10,"Windows 7, Windows 8, Windows 8.1, Windows 10 (64-bit)",,0
Agatha Christie - Hercule Poirot: The First Cases,3ghz processor,8 GB RAM,GeForce 970 / Radeon R9 380,Version 11,"Windows 7, Windows 8, Windows 8.1, Windows 10 (64-bit)",,1
Agatha Christie - Hercule Poirot: The London Case,Intel Core i3,6 GB RAM,Geforce 970,Version 11,Windows 10 (64-bit),10 GB available space,0
Agatha Christie - Hercule Poirot: The London Case,Intel Core i5,16 GB RAM,Geforce 1080,Version 11,Windows 10 (64-bit),10 GB available space,1
Agatha Christie - The ABC Murders,AMD/Intel dual-core processor running at 2.2 GHz,2048 MB RAM,"ATI/NVIDIA dedicated/integrated or mobile graphic card, with at least 512MB of dedicated VRAM and with at least Shader Model 4.0 support",Version 9.0c,Windows XP/Vista/7/8/10,,0
Agatha Christie - The ABC Murders,AMD / Intel Dual-Core processor running at 3.0 GHz,3072 MB RAM,ATI/NVIDIA dedicated or mobile graphic card with at least 1GB of dedicated VRAM and with at least Shader Model 4.0 support,Version 9.0c,Windows XP/Vista/7/8/10,,1
Agatha Christie: Death on the Nile,800 Mhz or better,128 MB,64 MB VRAM,DirectX: 8.1 or later,Windows 98/ME/2000/XP/Vista,57 MB,0
Agatha Christie: Murder on the Orient Express,1.4 GHz Pentium® 3 Processor ,256 MB ,64 MB DirectX® 9 Compatible Video Card ,DirectX 9,Windows® 2000/XP,1.5 GB ,0
Age of Booty,"Intel Pentium 4 1.7 Ghz, Intel Celeron 1.7 Ghz, or AMD Athlon xp 1800+ or better ",512 Mb RAM ,ATI Radeon 9600 / NVIDIA GeForce FX 5800 ,DirectX 9.0c November 2007 release ,Windows XP sp2 or Vista ,400 Mb hard drive space,0
Age of Booty,"Intel Pentium 4 2.8 Ghz , AMD Athlon XP 3200+ or higher ",1024 Mb RAM,ATI Radeon 9800 / NVIDIA GeForce 6800,DirectX 9.0c November 2007 release ,Windows XP sp2 or Vista ,400 Mb hard drive space,1
Age of Conan: Hyborian Adventures,3GHz Pentium IV,1GB RAM,"Shader Model 2.0 and 128MB ram, nVidia GeForce 6600",,Windows Vista/XP,32GB,0
Age of Conan: Hyborian Adventures,Intel Core 2 Duo 2.4 GHz (E6600) or better,2GB or more,NVIDIA GeForce 7900 GTX or better,,Windows Vista/XP,32GB,1
Age of Darkness: Final Stand,Intel Core i5-6600 or AMD FX-8350,8 GB RAM,"Nvidia GeForce GTX 760, 2 GB or AMD Radeon HD 7870, 2 GB",,"Windows 8.1, 64-bit",5 GB available space,0
Age of Darkness: Final Stand,Intel Core i5-8400 or AMD Ryzen 5 1500X,8 GB RAM,"Nvidia GeForce GTX 970, 4 GB or AMD Radeon R9 Fury, 4 GB",,"Windows 10, 64-bit",5 GB available space,1
Age of Defense,Pentium or AMD 700mhz,512 MB RAM,Video Card DX9 128mb,,Microsoft Windows XP SP3 (32-bit) and newer,200 MB available space,0
Age of Empire Online,"Dual Core, 2Ghz or higher","Win XP SP3/Vista Home Basic – 1GB; Vista Premium, Ultimate/Windows 7 (32 bit) – 1.5GB; Windows 7 (64 bit) – 2.5GB",128 MB Shader 2 supported card or higher,,Win XP/Vista/7,2.5 GB required for downloads,0
Age of Empires,Pentium 90 or higher processor ,16 MB RAM ,Local SVGA bus video display (with 1 MB VRAM) ,,Microsoft Windows 95 operating system or Windows NT Workstation 4.0 with Service Pack 3,"80 MB of available hard disk space
50 MB free disk space for swap file ",0
Age of Empires II - Age of Kings,Multimedia PC with Pentium 166MHz or higher processor,32 MB of RAM,Super VGA with 2 MB of video memory,,Microsoft® Windows® 95/98/Me/XP/NT 4.0 with service pack 5,200 MB of hard disk space; additional 100 MB of hard disk space for swap file,0
Age of Empires II - Gold Edition,Multimedia PC with Pentium 166MHz or higher processor,32 MB of RAM,Super VGA with 2 MB of video memory,,Microsoft® Windows® 95/98/Me/XP/NT 4.0 with service pack 5,200 MB of hard disk space; additional 100 MB of hard disk space for swap file,0
Age of Empires II - The Conquerors Expansion,Multimedia PC with Pentium 166MHz or higher processor,"32 MB of Ram for Windows 95, 98, ME, 64 MB for Windows NT 4.0 and Windows 2000",Super VGA with 2 MB of video memory,,Microsoft® Windows® 95/98/Me/XP/NT 4.0 with service pack 5,80 MB of available hard disk space (in addition to the original Age of Empires II required disk); additional 100 MB of hard disk space for swap file,0
Age of Empires II HD,1.2GHZ CPU,1 GB RAM,Direct X 9.0c Capable GPU,9.0c,"Windows Vista, 7, 8 Pro+",2 GB HD space,0
Age of Empires II: Definitive Edition,Intel Core 2 Duo or AMD Athlon 64x2 5600+,4 GB RAM,NVIDIA® GeForce® GT 420 or ATI™ Radeon™ HD 6850 or Intel® HD Graphics 4000 or better with 2 GB VRAM,Version 11,Windows 10 64bit,30 GB available space,0
Age of Empires II: Definitive Edition,2.4 Ghz i5 or greater or AMD equivalent,8 GB RAM,Nvidia® GTX 650 or AMD HD 5850 or better,Version 11,Windows 10 64bit,30 GB available space,1
Age of Empires III,Intel Core 2 Duo 2.2 GHz or AMD Athlon 64 X2 2.0 GHz,2 GB RAM,64 MB NVIDIA GeForce 6800 or ATI Radeon X1300,DirectX 9.0c,Windows XP,12 GB HD space,0
Age of Empires III The Asian Dynasties,1.4 GHz equivalent or higher processor,256 MB of system RAM,64 MB video card with support for hardware transformation and lighting required,DirectX 9.0 or later,Microsoft® Windows® XP or higher,2 GB available hard disk space,0
